AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,W%,B_index,LV2,wOBA
Rangers,Mariners,W,0.586419753,46.2,25.24,0.324,0.530864198,46.6,28.27,0.325
Nationals,Mets,L,0.586419753,45.8,31.17,0.322,0.537037037,45.9,29.76,0.315
Orioles,Yankees,L,0.549382716,47.3,26.91,0.326,0.518518519,44.8,30.4,0.311
Royals,Rangers,W,0.5,46.3,27.5,0.307,0.586419753,46.2,25.24,0.324
Padres,Giants,W,0.419753086,48.5,26.19,0.297,0.537037037,43.5,28.27,0.315
Braves,Yankees,W,0.422360248,45.5,26.35,0.304,0.518518519,44.8,30.4,0.311
Cardinals,RedSox,W,0.530864198,46.7,27.7,0.329,0.574074074,46.6,29.18,0.346
Royals,Rangers,W,0.5,46.3,27.5,0.307,0.586419753,46.2,25.24,0.324
Reds,Athletics,W,0.419753086,46.7,26.46,0.311,0.425925926,43.6,26.37,0.302
Dodgers,WhiteSox,W,0.561728395,46.3,32.05,0.314,0.481481481,46.7,27.06,0.314
Athletics,Giants,L,0.425925926,43.6,26.37,0.302,0.537037037,43.5,28.27,0.315
Mariners,Royals,W,0.530864198,46.6,28.27,0.325,0.5,46.3,27.5,0.307
Rockies,Padres,D,0.462962963,48.8,26.66,0.339,0.419753086,48.5,26.19,0.297
Brewers,Angels,W,0.450617284,49.9,25.31,0.315,0.456790123,42.4,25.16,0.314
Cubs,Indians,W,0.635802469,46.7,30.36,0.333,0.583850932,46.4,30.09,0.326
Tigers,Braves,L,0.534161491,48,27.31,0.33,0.422360248,45.5,26.35,0.304
Astros,Phillies,W,0.518518519,48.1,29.74,0.317,0.438271605,47,28.53,0.296
Marlins,Cardinals,L,0.49068323,46.1,28.77,0.309,0.530864198,46.7,27.7,0.329
Yankees,Twins,L,0.518518519,44.8,30.4,0.311,0.364197531,47.9,26.48,0.317
Rays,Orioles,D,0.419753086,48.8,29.26,0.315,0.549382716,47.3,26.91,0.326
Nationals,Tigers,W,0.586419753,45.8,31.17,0.322,0.534161491,48,27.31,0.33
Pirates,BlueJays,W,0.481481481,47,26.13,0.318,0.549382716,46.7,28.14,0.327
RedSox,Mets,L,0.574074074,46.6,29.18,0.346,0.537037037,45.9,29.76,0.315
WhiteSox,Athletics,L,0.481481481,46.7,27.06,0.314,0.425925926,43.6,26.37,0.302
Royals,Cubs,W,0.5,46.3,27.5,0.307,0.635802469,46.7,30.36,0.333
Angels,Rangers,L,0.456790123,42.4,25.16,0.314,0.586419753,46.2,25.24,0.324
Dodgers,Brewers,W,0.561728395,46.3,32.05,0.314,0.450617284,49.9,25.31,0.315
Padres,Dodgers,L,0.419753086,48.5,26.19,0.297,0.561728395,46.3,32.05,0.314
Indians,Mariners,L,0.583850932,46.4,30.09,0.326,0.530864198,46.6,28.27,0.325
Giants,Rockies,L,0.537037037,43.5,28.27,0.315,0.462962963,48.8,26.66,0.339
Braves,Pirates,L,0.422360248,45.5,26.35,0.304,0.481481481,47,26.13,0.318
RedSox,Cardinals,L,0.574074074,46.6,29.18,0.346,0.530864198,46.7,27.7,0.329
Astros,Nationals,W,0.518518519,48.1,29.74,0.317,0.586419753,45.8,31.17,0.322
Phillies,Tigers,L,0.438271605,47,28.53,0.296,0.534161491,48,27.31,0.33
Pirates,Twins,L,0.481481481,47,26.13,0.318,0.364197531,47.9,26.48,0.317
Marlins,Mets,L,0.49068323,46.1,28.77,0.309,0.537037037,45.9,29.76,0.315
WhiteSox,Indians,W,0.481481481,46.7,27.06,0.314,0.583850932,46.4,30.09,0.326
Rockies,Rangers,L,0.462962963,48.8,26.66,0.339,0.586419753,46.2,25.24,0.324
Angels,Brewers,W,0.456790123,42.4,25.16,0.314,0.450617284,49.9,25.31,0.315
Athletics,Giants,L,0.425925926,43.6,26.37,0.302,0.537037037,43.5,28.27,0.315
Mariners,Dodgers,L,0.530864198,46.6,28.27,0.325,0.561728395,46.3,32.05,0.314
Reds,Padres,W,0.419753086,46.7,26.46,0.311,0.419753086,48.5,26.19,0.297
Braves,Astros,W,0.422360248,45.5,26.35,0.304,0.518518519,48.1,29.74,0.317
Orioles,Twins,W,0.549382716,47.3,26.91,0.326,0.364197531,47.9,26.48,0.317
RedSox,Marlins,W,0.574074074,46.6,29.18,0.346,0.49068323,46.1,28.77,0.309
Twins,Phillies,L,0.364197531,47.9,26.48,0.317,0.438271605,47,28.53,0.296
BlueJays,Tigers,L,0.549382716,46.7,28.14,0.327,0.534161491,48,27.31,0.33
Cubs,Reds,L,0.635802469,46.7,30.36,0.333,0.419753086,46.7,26.46,0.311
Giants,WhiteSox,W,0.537037037,43.5,28.27,0.315,0.481481481,46.7,27.06,0.314
Brewers,Rockies,W,0.450617284,49.9,25.31,0.315,0.462962963,48.8,26.66,0.339
